"|","|__i","|__lc","|__m","|__n","|__sc","|__ri","|__rm","|__rn","|__t","|__time"
"1532171645484","105926951949397171774","2","ठाणे प्लॅटफॉर्म 1 varchya ट्रेन वेळेvar आहेत का  (sent from Thane)","Swanand Lele","","","","","21 Jul 04:44 PM","1532171645484"
"1532171647811","115655183005492744028","1","Hamesha rehta hi h","Dhruvisha Solanki","","107963874219136025410","kal megablock h ky (sent from Tilak Nagar Stn.)","Nilesh ash","21 Jul 04:44 PM","1532171647811"
"1532171678816","113574392715964092494","1","gooood evening (sent from Dadar Stn.)","Dadar User","","","","","21 Jul 04:44 PM","1532171678816"
"1532171708380","114937142097589840531","","good evening ","Deepak Bhatara","","","","","21 Jul 04:45 PM","1532171708380"
"1532171709673","105351321161707853745","","Good evening","Sanober Shaikh","","","","","21 Jul 04:45 PM","1532171709673"
"1532171727679","114724355656213306257","","udya centrala mega block ahe ka (sent from Jogeshwari)","Saudagar Ransure","","","","","21 Jul 04:45 PM","1532171727679"
"1532171728748","112757040559844646934","1","when will the karjat fast train reach Kurla? (sent from Kurla Stn.)","karan mehta","","","","","21 Jul 04:45 PM","1532171728748"
"1532171736169","112894370020260664055","","4:42 Badlapur fast local train arrives shortly at platform no 5 (sent from Thane Stn.)","Thane User","","","","","21 Jul 04:45 PM","1532171736169"
"1532171758630","112894370020260664055","","4:43 CSMT slow local train left from platform no 1 (sent from Thane Stn.)","Thane User","","","","","21 Jul 04:45 PM","1532171758630"
"1532171760372","113574392715964092494","","4:32 cst fast  train shortly arriving on platform no 6 (sent from Dadar Stn.)","Dadar User","","","","","21 Jul 04:46 PM","1532171760372"
"1532171761470","105652806403263328014","","good evening","Alamin Gazi","","","","","21 Jul 04:46 PM","1532171761470"
"1532171774772","112894370020260664055","","4:45 CSMT slow local train arrives shortly at platform no 4 (sent from Thane Stn.)","Thane User","","","","","21 Jul 04:46 PM","1532171774772"
"1532171793477","113574392715964092494","","4:43 karjat  fast train shortly arriving on platform no 4 (sent from Dadar Stn.)","Dadar User","","","","","21 Jul 04:46 PM","1532171793477"
"1532171804082","117589385888765174896","","dadar (sent from Elphinstone Road Stn.)","Raghuvansh Pandey","","","","","21 Jul 04:46 PM","1532171804082"
"1532171804341","100513840830730271190","","good evening  (sent from Mahalakshmi Stn.)","Anil Sadafule","","","","","21 Jul 04:46 PM","1532171804341"
"1532171805277","113574392715964092494","","4:47 cst slow train shortly arriving on platform no 3 (sent from Dadar Stn.)","Dadar User","","","","","21 Jul 04:46 PM","1532171805277"
"1532171820439","113574392715964092494","","4:48 thane slow train shortly arriving on platform no 1 (sent from Dadar Stn.)","Dadar User","","","","","21 Jul 04:47 PM","1532171820439"
"1532171830643","113574392715964092494","","4:43 karjat fast train arrived on platform no 4 (sent from Dadar Stn.)","Dadar User","","","","","21 Jul 04:47 PM","1532171830643"
"1532171832377","104895142121777984017","","fast train chalu hai kya ghatakor se (sent from Nahur Stn.)","prakash jogale","","","","","21 Jul 04:47 PM","1532171832377"
"1532171843729","113574392715964092494","","4:47 cst slow train left from platform no 3 (sent from Dadar Stn.)","Dadar User","","","","","21 Jul 04:47 PM","1532171843729"
"1532171846248","109004223253334808135","","hi (sent from Vidyavihar)","Irsad Ansari","","","","","21 Jul 04:47 PM","1532171846248"
"1532171875280","105429907564866140081","","hii (sent from Ulhas Nagar Stn.)","Meet Lund","","","","","21 Jul 04:47 PM","1532171875280"
"1532171889564","108566295940924568076","1","diva (sent from Mulund)","Pooja Bate","","","","","21 Jul 04:48 PM","1532171889564"
"1532171892582","112894370020260664055","1","4:48 Dadar slow local train arrives shortly at platform no 4 (sent from Thane Stn.)","Thane User","","","","","21 Jul 04:48 PM","1532171892582"
"1532171939560","112834654722399545547","","any idea about tomorrows megablock ","Ruturaj Shete","","","","","21 Jul 04:48 PM","1532171939560"
"1532171944839","116614817389342624673","","hi","Santosh Maurya","","","","","21 Jul 04:49 PM","1532171944839"
"1532171960156","107653460460634132125","","badnera to wardha","rashami kumbalwar","","","","","21 Jul 04:49 PM","1532171960156"
"1532171977262","106674859073907249367","","haihai","Hafeej Khan","","","","","21 Jul 04:49 PM","1532171977262"
"1532171984262","108345958475716444835","","ghatkopar crowd","Saif Nazir","","","","","21 Jul 04:49 PM","1532171984262"
"1532171998820","107614102707504899099","","meghablock kadhe shampel","Saurabh Gaikar","","","","","21 Jul 04:49 PM","1532171998820"
"1532172012897","110722207185012641971","","mumbai to kolhapur updates  (sent from Elphinstone Road Stn.)","Sudhakar Birambole","","","","","21 Jul 04:50 PM","1532172012897"
"1532172030745","102807153515928995363","","bht crowd hai (sent from Kurla Stn.)","Shoeb Shaikh","","","","","21 Jul 04:50 PM","1532172030745"
"1532172051809","113927805535449363737","","what's the update towards car from ghatkopar (sent from Ghatkopar Stn.)","sunil jain","","","","","21 Jul 04:50 PM","1532172051809"
"1532172088265","115433199884331061519","","tomorrows megablock kalwa to Kurla (sent from Ghansoli)","Bharat Gupta","","","","","21 Jul 04:51 PM","1532172088265"
"1532172089523","113927805535449363737","",", Towards CST from ghatkopar (sent from Ghatkopar Stn.)","sunil jain","","","","","21 Jul 04:51 PM","1532172089523"
"1532172107636","101870804440487767459","","technical problem hai kya cebtral lineka?","Rohan Ghade","","","","","21 Jul 04:51 PM","1532172107636"
"1532172108383","117056633291701174820","","When will the megablock start tomorrow?","Sujan Patel","","","","","21 Jul 04:51 PM","1532172108383"
"1532172122340","101870804440487767459","","please reply from ghatkoper","Rohan Ghade","","","","","21 Jul 04:52 PM","1532172122340"
"1532172130326","110707017132802550609","","mega block on 22 july (sent from Diva Jn Stn.)","PRAKASH REDKAR","","","","","21 Jul 04:52 PM","1532172130326"
"1532172171642","113574392715964092494","","4:52 dombivli slow train shortly arriving on platform no 1 (sent from Dadar Stn.)","Dadar User","","","","","21 Jul 04:52 PM","1532172171642"
"1532172180742","113574392715964092494","1","5:29 cst slow train shortly arriving on platform no 3 (sent from Dadar Stn.)","Dadar User","","","","","21 Jul 04:53 PM","1532172180742"
"1532172182414","112894370020260664055","","4:52 Dadar fast local train arrives shortly at platform no 6 (sent from Thane Stn.)","Thane User","","","","","21 Jul 04:53 PM","1532172182414"
"1532172194197","113574392715964092494","","4:58 badalpur fast train shortly arriving on platform no 4 (sent from Dadar Stn.)","Dadar User","","","","","21 Jul 04:53 PM","1532172194197"
"1532172196932","112894370020260664055","","4:50 Ambernath slow local train arrives shortly at platform no 3 (sent from Thane Stn.)","Thane User","","","","","21 Jul 04:53 PM","1532172196932"
"1532172207630","113574392715964092494","","4:46 cst fast train shortly arriving on platform no 6 (sent from Dadar Stn.)","Dadar User","","","","","21 Jul 04:53 PM","1532172207630"
"1532172273138","114588471698504338676","","please refer most liked chats for Megablock details of Sunday","Tester1 Mobond","","110707017132802550609","mega block on 22 july (sent from Diva Jn Stn.)","PRAKASH REDKAR","21 Jul 04:54 PM","1532172273138"
"1532172322894","101812880862400156889","1","where is 4:34 CST train (sent from Vikhroli Stn.)","Sushmita Gupta","","","","","21 Jul 04:55 PM","1532172322894"
"1532172338376","102219089084721706569","1","tomorrow's train time of central line","Nivrtti Raut","","","","","21 Jul 04:55 PM","1532172338376"
"1532172352380","112048319070788968097","","what is the ticket prize from ulhas nagar to neral (sent from Ulhas Nagar Stn.)","Prashant Patil","","","","","21 Jul 04:55 PM","1532172352380"
"1532172352694","108921134124533139104","1","mega block","ganesh mangle","","","","","21 Jul 04:55 PM","1532172352694"
"1532172409412","109275972229286382249","1","wer is 4:32 fast to cst  (sent from Vikhroli Stn.)","Pranali G","","","","","21 Jul 04:56 PM","1532172409412"
"1532172434391","112048319070788968097","1","ulhas nagar to karjat , khopali trains time table (sent from Ulhas Nagar Stn.)","Prashant Patil","","","","","21 Jul 04:57 PM","1532172434391"
"1532172454977","113574392715964092494","","4:46 cst fast train shortly arriving on platform no 6 (sent from Dadar Stn.)","Dadar User","","","","","21 Jul 04:57 PM","1532172454977"
"1532172467010","113574392715964092494","","4:58 badalpur fast train shortly arriving on platform no 4 (sent from Dadar Stn.)","Dadar User","","","","","21 Jul 04:57 PM","1532172467010"
"1532172485194","113574392715964092494","","4:46 thane slow train shortly arriving on platform no 1 (sent from Dadar Stn.)","Dadar User","","","","","21 Jul 04:58 PM","1532172485194"
"1532172488289","112894370020260664055","","4:54 kalyan slow local train arrives shortly at platform no 2 (sent from Thane Stn.)","Thane User","","","","","21 Jul 04:58 PM","1532172488289"
"1532172509617","113574392715964092494","1","4:56 thane slow train arrived on platform no 1 (sent from Dadar Stn.)","Dadar User","","","","","21 Jul 04:58 PM","1532172509617"
"1532172514767","105306379145182426060","1","Sunday tren chalu hai (sent from Neral)","Dilip Shelke","","","","","21 Jul 04:58 PM","1532172514767"
"1532172520676","112894370020260664055","1","4:55 CSMT slow local train arrives shortly at platform no 4 (sent from Thane Stn.)","Thane User","","","","","21 Jul 04:58 PM","1532172520676"
"1532172523254","113574392715964092494","","5:13 dombivli slow train shortly arriving on platform no 2 (sent from Dadar Stn.)","Dadar User","","","","","21 Jul 04:58 PM","1532172523254"
"1532172526648","102219089084721706569","","please sent train timetable from karjat to bhivpuri","Nivrtti Raut","","","","","21 Jul 04:58 PM","1532172526648"
"1532172532998","112894370020260664055","","4:52 Dadar fast local train arrives shortly at platform no 6 (sent from Thane Stn.)","Thane User","","","","","21 Jul 04:58 PM","1532172532998"
"1532172551449","104583407746705869519","","see in the app (sent from Chinchpokli Stn.)","PRAJYOT MOHITE","","102219089084721706569","please sent train timetable from karjat to bhivpuri","Nivrtti Raut","21 Jul 04:59 PM","1532172551449"
"1532172556775","102814557300653481713","","15... one side (sent from Thane Stn.)","Kanchan Singh","","112048319070788968097","what is the ticket prize from ulhas nagar to neral (sent from Ulhas Nagar Stn.)","Prashant Patil","21 Jul 04:59 PM","1532172556775"
"1532172559040","113574392715964092494","1","4:56 thane slow train left from platform no 1 (sent from Dadar Stn.)","Dadar User","","","","","21 Jul 04:59 PM","1532172559040"
"1532172571911","117841297447249032627","","what is tommorow's megablock time on central railway (sent from Badlapur)","Tanish Mankar","","","","","21 Jul 04:59 PM","1532172571911"
"1532172592316","115357274212438182628","1","Thane slow train arrives shortly at PF no  (sent from Kurla Stn.)","neha jadhav","1","","","","21 Jul 04:59 PM","1532172592316"
"1532172604131","113574392715964092494","","5:13 dombivli slow train arrived on platform no 2 (sent from Dadar Stn.)","Dadar User","","","","","21 Jul 05:00 PM","1532172604131"
"1532172639012","113574392715964092494","","5:10 thane slow train shortly arriving on platform no 1 (sent from Dadar Stn.)","Dadar User","","","","","21 Jul 05:00 PM","1532172639012"
"1532172660375","102940465025338397800","","kal megablock ka timing batao","Nilesh Rane","","","","","21 Jul 05:01 PM","1532172660375"
"1532172667804","116735266254276412133","1","Panvel to Mumbai Central (sent from Panvel)","Shipra Mukherjee pattanayak","","","","","21 Jul 05:01 PM","1532172667804"
"1532172669255","113574392715964092494","","5:06 kalyan slow train  is cancel today on platform no 1 (sent from Dadar Stn.)","Dadar User","","","","","21 Jul 05:01 PM","1532172669255"
"1532172698563","113574392715964092494","","5:01 kurla slow train  is cancel today on platform no 1 (sent from Dadar Stn.)","Dadar User","","","","","21 Jul 05:01 PM","1532172698563"
"1532172702938","113767787982923883066","","which train goes to poona  (sent from Masjid)","kayum siddique","","","","","21 Jul 05:01 PM","1532172702938"
"1532172716971","113574392715964092494","","4:58 badalpur fast train arrived on platform no 4 (sent from Dadar Stn.)","Dadar User","","","","","21 Jul 05:01 PM","1532172716971"
"1532172730527","113574392715964092494","","5:20 cst slow train shortly arriving on platform no 3 (sent from Dadar Stn.)","Dadar User","","","","","21 Jul 05:02 PM","1532172730527"
"1532172731880","100734273377593103430","","are trains from Dombivli to CST on time? (sent from Dombivli)","Santosh Shringarpure","","","","","21 Jul 05:02 PM","1532172731880"
"1532172745513","102940465025338397800","","Kal subhe bhivpuri Jana he koi train ka timing batao","Nilesh Rane","","","","","21 Jul 05:02 PM","1532172745513"
"1532172768731","113574392715964092494","","4:58 badalpur fast train left from platform no 4 (sent from Dadar Stn.)","Dadar User","1","","","","21 Jul 05:02 PM","1532172768731"
"1532172769282","116958998788620340429","","sunday cenral line me mega block hai kya ?","Shaikh Moazzam","","","","","21 Jul 05:02 PM","1532172769282"
"1532172797678","102940465025338397800","","nai na ","Nilesh Rane","","","","","21 Jul 05:03 PM","1532172797678"
"1532172809102","106068139446028587232","","trains towards karjat (sent from Parel)","Tushar Divekar","","","","","21 Jul 05:03 PM","1532172809102"
"1532172812130","102940465025338397800","","koi tc nai pakdega na ","Nilesh Rane","","","","","21 Jul 05:03 PM","1532172812130"
"1532172817598","116401935919506770462","1","kal maghablock kaha se kaha tak hai.","Akshay Kedare","","","","","21 Jul 05:03 PM","1532172817598"
"1532172844101","105495922259810500933","","5:30  dadar kalyan train late hai kya time par hai  hame  batao pl","Haresh Gage","","","","","21 Jul 05:04 PM","1532172844101"
"1532172850595","113574392715964092494","","5:06 kasara fast train shortly arriving on platform no 4 (sent from Dadar Stn.)","Dadar User","","","","","21 Jul 05:04 PM","1532172850595"
"1532172865008","106068139446028587232","","what about mumbai pune pragati exp. (sent from Parel)","Tushar Divekar","","","","","21 Jul 05:04 PM","1532172865008"
"1532172940908","113574392715964092494","","5:06 kasara fast train arrived on platform no 4 (sent from Dadar Stn.)","Dadar User","","","","","21 Jul 05:05 PM","1532172940908"
"1532172973637","112085273402918865443","1","mumbra","Attu Ans","","","","","21 Jul 05:06 PM","1532172973637"
"1532173020770","108244474184959589892","","kal central Line pe mega block ka timing kya hai (sent from Ghatkopar Stn.)","SAMADHAN SURWADE","","","","","21 Jul 05:07 PM","1532173020770"
"1532173024778","113574392715964092494","1","5:06 kasara fast train left from platform no 4 (sent from Dadar Stn.)","Dadar User","","","","","21 Jul 05:07 PM","1532173024778"
"1532173032764","113236412542635997572","","is tomorrow megablock? (sent from Karjat Stn.)","Rahul Sawant","","","","","21 Jul 05:07 PM","1532173032764"
"1532173035460","113483043760211417076","1","is it train on time (sent from Badlapur)","Shamika Dhawan","","","","","21 Jul 05:07 PM","1532173035460"
"1532173065893","113574392715964092494","","5:06 kasara fast train left from platform no 4 (sent from Dadar Stn.)","Dadar User","","","","","21 Jul 05:07 PM","1532173065893"
"1532173081879","104627194223241331255","","where is Dadar - Badlapur Train ? (sent from Dombivli Stn.)","Sandesh Darde","","","","","21 Jul 05:08 PM","1532173081879"
"1532173088218","113574392715964092494","","5:12 ambarnath fast train shortly arriving on platform no 4 (sent from Dadar Stn.)","Dadar User","","","","","21 Jul 05:08 PM","1532173088218"
"1532173114786","100976431763387423503","","aur Mumbra ka kiya haal hai.. ","Awez Ansari","","112085273402918865443","mumbra","Attu Ans","21 Jul 05:08 PM","1532173114786"
"1532173118213","111031186410183059809","","it,s that fast train of early morning 5:30 to 6:30 are on time pls help","Leena Shah","","","","","21 Jul 05:08 PM","1532173118213"
"1532173159305","111031186410183059809","","what about fast train","Leena Shah","","100678804603150842069","current update... Central line local are running on time... some local 5 to 7 min late... Western Railway slow local on time and fast 5 to 7 min late... Harbour line is running 5 to 10 min late today.... All. 3 line are running smoothly and fine (sent from Ambernath Stn.)","joseph pinto","21 Jul 05:09 PM","1532173159305"
"1532173199807","113574392715964092494",""," 4:46 cst fast train arrived on platform no 6 (sent from Dadar Stn.)","Dadar User","","","","","21 Jul 05:09 PM","1532173199807"
"1532173216868","112894370020260664055","","5:05 CSMT fast local train arrives shortly at platform no 6 (sent from Thane Stn.)","Thane User","","","","","21 Jul 05:10 PM","1532173216868"
"1532173222809","113574392715964092494","","4:46 cst fast train left from platform no 6 (sent from Dadar Stn.)","Dadar User","","","","","21 Jul 05:10 PM","1532173222809"
"1532173237175","115636979381957600180","","please send train time tebal ","Tejas Shivdas","","","","","21 Jul 05:10 PM","1532173237175"
"1532173252411","115689192359562191168","","Give update when train arrives (sent from Kalyan Stn.)","Pranav Phadke","","104627194223241331255","where is Dadar - Badlapur Train ? (sent from Dombivli Stn.)","Sandesh Darde","21 Jul 05:10 PM","1532173252411"
"1532173265739","112894370020260664055","","5:07 CSMT slow local train arrives shortly at platform no 4 (sent from Thane Stn.)","Thane User","","","","","21 Jul 05:11 PM","1532173265739"
"1532173288970","112894370020260664055","1","5:10 Karjat fast local train arrives shortly at platform no 5 (sent from Thane Stn.)","Thane User","","","","","21 Jul 05:11 PM","1532173288970"
"1532173298831","112707076862811818234","7","where do i find local train time table (sent from Mulund Stn.)","Ashwini Kurdukar","1","","","","21 Jul 05:11 PM","1532173298831"
"1532173365094","105088458365423472760","","5.6 kasara fast train...is on times.dadar station","Vishal Kshirsagar","","","","","21 Jul 05:12 PM","1532173365094"
"1532173376166","105088458365423472760","1","5.6 kasara fast train...is on times.dadar station","Vishal Kshirsagar","","","","","21 Jul 05:12 PM","1532173376166"
"1532173385222","115498872531017138211","","mega block tomorrow, any update  (sent from Shahad)","Pama Electricals","","","","","21 Jul 05:13 PM","1532173385222"
"1532173475992","110616862088100581240","","Thane stn K Bahar Bridge toot Gya H Kya?  (sent from Gtb Nagar)","Priteshkumar Jain","","","","","21 Jul 05:14 PM","1532173475992"
"1532173502705","102668071914295451557","","what about slow train  (sent from Borivali Stn.)","Suraj Dalvi","","","","","21 Jul 05:15 PM","1532173502705"
"1532173629813","113574392715964092494","1","5:34 asangeon fast train shortly arriving on platform no 4 (sent from Dadar Stn.)","Dadar User","","","","","21 Jul 05:17 PM","1532173629813"
"1532173642295","113574392715964092494","","4:49 cst fast train arrived on platform no 6 (sent from Dadar Stn.)","Dadar User","","","","","21 Jul 05:17 PM","1532173642295"
"1532173664121","106253625218722374117","","mega block","vaibhav jadhav","","","","","21 Jul 05:17 PM","1532173664121"
"1532173682442","108863493173915094497","","9 nmkkkkkkkj) lllkk@IN.. HVB6UIIUKKIIII>9I8898P98P8P8P8PPPP9OL9IM9I8898P98P8P8P8PPPP9OL9IMUKHVNHVJHJI7","Arjun Singh","","113574392715964092494","4:49 cst fast train arrived on platform no 6 (sent from Dadar Stn.)","Dadar User","21 Jul 05:18 PM","1532173682442"
"1532173693032","112894370020260664055","","5""18 Titwala slow local train arrives shortly at platform no 2 (sent from Thane Stn.)","Thane User","","","","","21 Jul 05:18 PM","1532173693032"
"1532173694760","113574392715964092494","","4:49 cst fast train left from platform no 6 (sent from Dadar Stn.)","Dadar User","","","","","21 Jul 05:18 PM","1532173694760"
"1532173710670","112894370020260664055","","5:16 CSMT fast local train arrives shortly at platform no 6 (sent from Thane Stn.)","Thane User","","","","","21 Jul 05:18 PM","1532173710670"
"1532173748483","109155986494123546246","","कल्याण ते टोकावडे ट्रेन केंव्हा चालू होणार (sent from Mumbai Central Stn.)","Nanabhau Kashid","","","","","21 Jul 05:19 PM","1532173748483"
"1532173778128","113574392715964092494","","5:19 kalyan slow train arrived on platform no 1 (sent from Dadar Stn.)","Dadar User","","","","","21 Jul 05:19 PM","1532173778128"
"1532173794412","113574392715964092494","","5:06 cst fast train shortly arriving on platform no 6 (sent from Dadar Stn.)","Dadar User","","","","","21 Jul 05:19 PM","1532173794412"
"1532173801602","109654600737640955888","","where is asangav train  (sent from Kopar Stn.)","Nitin Shelavale","","","","","21 Jul 05:20 PM","1532173801602"
"1532173803681","101704206651307717779","","Kalyan (sent from Chinchpokli Stn.)","santosh shinde","","","","","21 Jul 05:20 PM","1532173803681"
"1532173803935","113574392715964092494","","5:38 kalyan slow train shortly arriving on platform no 2 (sent from Dadar Stn.)","Dadar User","","","","","21 Jul 05:20 PM","1532173803935"
"1532173823664","112894370020260664055","","5:19 CSMT slow local train arrives shortly at platform no 4 (sent from Thane Stn.)","Thane User","","","","","21 Jul 05:20 PM","1532173823664"
"1532173829048","113574392715964092494","","5:19 kalyan slow train left from platform no 1 (sent from Dadar Stn.)","Dadar User","","","","","21 Jul 05:20 PM","1532173829048"
"1532173843330","113574392715964092494","1","5:20 cst slow train arrived on platform no 3 (sent from Dadar Stn.)","Dadar User","","","","","21 Jul 05:20 PM","1532173843330"
"1532173867983","100296675167298713086","","has 5.17 csmt local left from kasara? (sent from Khardi Stn.)","Mihir Gada","","","","","21 Jul 05:21 PM","1532173867983"
"1532173896413","113574392715964092494","","5:06 cst fast train arrived on platform no 6 (sent from Dadar Stn.)","Dadar User","","","","","21 Jul 05:21 PM","1532173896413"
"1532173906408","113574392715964092494","","5:20 cst slow train left from platform no 3 (sent from Dadar Stn.)","Dadar User","","","","","21 Jul 05:21 PM","1532173906408"
"1532173912099","113454032619024626677","","just loo ocal time r  (sent from Bhandup)","Abhijeet Govekar","","","","","21 Jul 05:21 PM","1532173912099"
"1532173924663","109816241991878479628","","can you please notify the down time schedule for every Sunday","Tushar Aher","","","","","21 Jul 05:22 PM","1532173924663"
"1532173938103","113574392715964092494","1","5:22 thane slow train shortly arriving on platform 1 (sent from Dadar Stn.)","Dadar User","","","","","21 Jul 05:22 PM","1532173938103"
"1532173946299","113574392715964092494","","5:06 cst fast train left from platform no 6 (sent from Dadar Stn.)","Dadar User","","","","","21 Jul 05:22 PM","1532173946299"
"1532173957457","113574392715964092494","","5:16 cst slow train shortly arriving on platform no 3 (sent from Dadar Stn.)","Dadar User","","","","","21 Jul 05:22 PM","1532173957457"
"1532173984587","113574392715964092494","","5:23 cst fast train shortly arriving on platform no 6 (sent from Dadar Stn.)","Dadar User","","","","","21 Jul 05:23 PM","1532173984587"
"1532173986670","112894370020260664055","1","5""22 kalyan slow local train arrives shortly at platform no 2 (sent from Thane Stn.)","Thane User","","","","","21 Jul 05:23 PM","1532173986670"
"1532174016351","105656547565954027806","","thane","Rajnikant Sheth","","","","","21 Jul 05:23 PM","1532174016351"
"1532174017342","112894370020260664055","","5:21 CSMT slow local train left from platform no 1 (sent from Thane Stn.)","Thane User","","","","","21 Jul 05:23 PM","1532174017342"
"1532174038724","113574392715964092494","","5:22 thane slow train arrived on platform no 1 (sent from Dadar Stn.)","Dadar User","","","","","21 Jul 05:23 PM","1532174038724"
"1532174047176","100988244501635190131","","kalyan se kasara 40 min let chal rahi hai (sent from Khadavli Stn.)","Ashutosh Mishra","","","","","21 Jul 05:24 PM","1532174047176"
"1532174047593","112894370020260664055","","5""21 CSMT fast local train arrives shortly at platform no 6 (sent from Thane Stn.)","Thane User","","","","","21 Jul 05:24 PM","1532174047593"
"1532174070433","113574392715964092494","","5:22 thane slow train left from platform no 1 (sent from Dadar Stn.)","Dadar User","","","","","21 Jul 05:24 PM","1532174070433"
"1532174097164","113574392715964092494","","5:16 cst slow train arrived on platform no 3 (sent from Dadar Stn.)","Dadar User","","","","","21 Jul 05:24 PM","1532174097164"
"1532174099214","101497999835512577767","","mega Bloks on CR on 22 July (sent from Kalyan)","vishvanath honavar","","","","","21 Jul 05:24 PM","1532174099214"
"1532174103744","112154222518076276222","","what is tomorrow mega block time ?  central line","sandeep mone","","","","","21 Jul 05:25 PM","1532174103744"
"1532174117737","113574392715964092494","1","5:26 thane slow train shortly arriving on platform no 1 (sent from Dadar Stn.)","Dadar User","","","","","21 Jul 05:25 PM","1532174117737"
"1532174131233","113574392715964092494","","5:16 cst slow train left from platform no 3 (sent from Dadar Stn.)","Dadar User","","","","","21 Jul 05:25 PM","1532174131233"
"1532174184763","113473637511189915082","1","is there megablock on 22nd july sunday? (sent from Neral Stn.)","Tanvi Jain","","","","","21 Jul 05:26 PM","1532174184763"
"1532174195131","113574392715964092494","","5:37 cst slow train shortly arriving on platform no 3 (sent from Dadar Stn.)","Dadar User","","","","","21 Jul 05:26 PM","1532174195131"
"1532174214718","113574392715964092494","1","plz refer  to most liked chats for mega block  (sent from Dadar Stn.)","Dadar User","","113473637511189915082","is there megablock on 22nd july sunday? (sent from Neral Stn.)","Tanvi Jain","21 Jul 05:26 PM","1532174214718"
"1532174260804","112894370020260664055","1","5:25 kalyan slow local train arrives shortly at platform no 3 (sent from Thane Stn.)","Thane User","","","","","21 Jul 05:27 PM","1532174260804"
"1532174282425","112894370020260664055","","5:26 Badlapur fast local train arrives shortly at platform no 5 (sent from Thane Stn.)","Thane User","","","","","21 Jul 05:28 PM","1532174282425"
"1532174320605","112894370020260664055","","5:25 CSMT slow local train left from platform no 1 (sent from Thane Stn.)","Thane User","","","","","21 Jul 05:28 PM","1532174320605"
"1532174339515","112894370020260664055","","5:27 Dadar fast local train arrives shortly at platform no 6 (sent from Thane Stn.)","Thane User","","","","","21 Jul 05:28 PM","1532174339515"
"1532174478449","107165998104642388090","","thane coming plt no 1 mulund ","Manicoles@gmail.com Iyer","","","","","21 Jul 05:31 PM","1532174478449"
"1532174547912","112363448788976203703","","tomorrow is megablock or not ? (sent from Jogeshwari)","Anita Singh Sin0","","","","","21 Jul 05:32 PM","1532174547912"
"1532174549351","112894370020260664055","","5:30 CSMT slow local train arrives shortly at platform no 4 (sent from Thane Stn.)","Thane User","","","","","21 Jul 05:32 PM","1532174549351"
"1532174551774","104227737321067044707","","megablock timing","Hemant Bhosle","","","","","21 Jul 05:32 PM","1532174551774"
"1532174625992","112363448788976203703","","10-5 oc (sent from Jogeshwari)","Anita Singh Sin0","","","","","21 Jul 05:33 PM","1532174625992"
"1532174632080","113574392715964092494","","5:27 cst fast train shortly arriving on platform no 6 (sent from Dadar Stn.)","Dadar User","","","","","21 Jul 05:33 PM","1532174632080"
"1532174640678","113574392715964092494","","5:30 kalyan fast train shortly arriving on platform no 5 (sent from Dadar Stn.)","Dadar User","","","","","21 Jul 05:34 PM","1532174640678"
"1532174659561","113574392715964092494","","5:34 asangeon  fast train arrived on platform no 4 (sent from Dadar Stn.)","Dadar User","","","","","21 Jul 05:34 PM","1532174659561"
"1532174676125","113574392715964092494","1","5:34 thane slow train shortly arriving on platform no 1 (sent from Dadar Stn.)","Dadar User","","","","","21 Jul 05:34 PM","1532174676125"
"1532174707298","113574392715964092494","","5:34 asangeon fast train left from platform no 4  (sent from Dadar Stn.)","Dadar User","","","","","21 Jul 05:35 PM","1532174707298"
"1532174725989","113574392715964092494","","5:37 kalyan fast train shortly arriving on platform no 4 (sent from Dadar Stn.)","Dadar User","","","","","21 Jul 05:35 PM","1532174725989"
"1532174771182","103303524052084933540","","tomorrow is megablok or no kalyan karjat (sent from Kalyan Stn.)","arvind badekar","","","","","21 Jul 05:36 PM","1532174771182"
"1532174830871","113574392715964092494","","5:37 kalyan fast train arrived on platform no 4 (sent from Dadar Stn.)","Dadar User","","","","","21 Jul 05:37 PM","1532174830871"
"1532174842682","113574392715964092494","","5:37 cst slow train arrived on platform no 3 (sent from Dadar Stn.)","Dadar User","","","","","21 Jul 05:37 PM","1532174842682"
"1532174844475","102791306893291359733","","last train from mulund  (sent from Mulund Stn.)","Shailaja Shetty","","","","","21 Jul 05:37 PM","1532174844475"
"1532174871903","113574392715964092494","","5:37 cst slow train left from platform no 3 (sent from Dadar Stn.)","Dadar User","","","","","21 Jul 05:37 PM","1532174871903"
"1532174883912","113574392715964092494","","5:37 kalyan fast train left from platform no 4 (sent from Dadar Stn.)","Dadar User","","","","","21 Jul 05:38 PM","1532174883912"
"1532174886066","105401089339001376942","","central line me mega block kb se kb tk hai","Sanjay Kumar","","","","","21 Jul 05:38 PM","1532174886066"
"1532174906362","113327206063803631793","","hi","bela barodia","","","","","21 Jul 05:38 PM","1532174906362"
"1532174987785","111654196522672634640","","train late aahe ka aaj","Pinky Yadav","","","","","21 Jul 05:39 PM","1532174987785"
"1532175074535","100678804603150842069","1","Fast local moving towards Kalyan are on right time... Some local are late 5 mins  (sent from Mahalakshmi Stn.)","joseph pinto","","100678804603150842069","current update... Central line local are running on time... some local 5 to 7 min late... Western Railway slow local on time and fast 5 to 7 min late... Harbour line is running 5 to 10 min late today.... All. 3 line are running smoothly and fine (sent from Ambernath Stn.)","joseph pinto","21 Jul 05:41 PM","1532175074535"
